section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572342479480,-0.426829,-1.280488,-4.02439,-0.035034,-0.911316,0.168152,8.995092976703802,10.611900153298535
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572347507480,-0.487805,-1.463415,-3.902439,-0.039551,-0.912659,0.168213,9.35821504033268,10.464064630896843
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572352535480,-0.426829,-1.707317,-3.780488,-0.034302,-0.913574,0.165222,9.063040447830275,10.220591235005571
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572357563480,-0.304878,-2.012195,-3.536585,-0.033386,-0.913513,0.161865,9.040114112570222,9.909388344189324
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572362591480,-0.182927,-2.195122,-3.47561,-0.033997,-0.90918,0.160706,9.19255462859715,10.195246765988145
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572367619480,-0.182927,-2.256098,-3.536585,-0.032715,-0.900146,0.155762,9.06074214790928,9.894578881233542
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572372647480,-0.365854,-2.317073,-3.47561,-0.030518,-0.90094,0.153748,8.845875589064178,9.615685630538906
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572377675480,-0.792683,-2.256098,-3.536585,-0.032776,-0.90448,0.156311,9.08840982776232,9.86095156254504
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572382703480,-1.036585,-2.378049,-3.536585,-0.032166,-0.907654,0.157532,8.64472082135427,9.785157878367443
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572387731480,-1.158537,-2.439024,-3.597561,-0.035217,-0.905151,0.157166,9.054580587992632,9.830478949999133
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572392759480,-1.341463,-2.317073,-3.658537,-0.030823,-0.904175,0.155334,8.708493749212977,9.617926862008403
f8737c9a-d767-4891-a507-578cd9568354,e93561fb-b770-4f86-a07a-f6c7a4683056,1655295572397787480,-1.585366,-2.073171,-3.536585,-0.035095,-0.908142,0.151917,9.098606840883434,9.505550168305234
